                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9967,                 3.3548,                  1.785,                0.25672,                0.12231,                0.12161,                0.04754,                 2.1436,                 3.5021,                 2.0063,             0.00046953,             0.00046953,             0.00046953
                      2,                 1.8072,                 2.1962,                 1.6968,                0.33372,                0.03163,                0.00019,                  6e-05,                 3.4641,                 158.28,                 7.0419,             0.00091465,             0.00091465,             0.00091465
                      3,                 1.8547,                 2.0555,                 1.7473,                0.39132,                0.27281,                0.09325,                0.05347,                 2.0288,                  16.09,                 2.2204,              0.0013283,              0.0013283,              0.0013283
                      4,                  1.885,                 1.9485,                 1.7782,                0.56747,                0.13625,                0.18762,                0.08804,                 1.8679,                 3.3556,                 1.9576,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.8786,                 1.9752,                 1.8466,                0.25583,                0.40831,                0.27195,                0.14479,                 1.6276,                 2.6074,                 1.9166,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.8438,                  1.861,                  1.778,                0.58344,                0.21655,                0.25678,                0.14276,                 1.5608,                 2.2574,                 1.6778,              0.0012404,              0.0012404,              0.0012404
                      7,                 1.8584,                 1.8578,                 1.7937,                0.25344,                0.23358,                0.27211,                0.11601,                 1.8645,                 1.8765,                 1.9561,              0.0011932,              0.0011932,              0.0011932
                      8,                 1.7646,                 1.7362,                 1.7056,                0.21189,                0.26034,                0.26596,                0.13458,                 1.7171,                 1.7868,                 1.8158,              0.0011461,              0.0011461,              0.0011461
                      9,                 1.7549,                 1.6871,                 1.7216,                0.59499,                0.31985,                0.29835,                0.15416,                  1.572,                 1.7167,                 1.6836,              0.0010989,              0.0010989,              0.0010989
                     10,                 1.7616,                 1.7274,                 1.7054,                0.24528,                0.27251,                0.28694,                0.14822,                  1.579,                 1.6281,                 1.7237,              0.0010517,              0.0010517,              0.0010517
