                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0473,                 4.3342,                 1.7952,                0.00379,                0.92236,                0.21693,                0.09554,                 1.5463,                 3.7756,                 1.4102,             0.00046953,             0.00046953,             0.00046953
                      2,                 1.7907,                 3.1256,                 1.6196,                0.60239,                0.34225,                0.25797,                0.13159,                 1.5434,                 2.7972,                 1.5549,             0.00085222,             0.00085222,             0.00085222
                      3,                 1.7494,                 2.7235,                 1.6309,                0.55873,                0.35685,                 0.2604,                0.11464,                 1.6342,                 2.6179,                 1.6148,              0.0011406,              0.0011406,              0.0011406
                      4,                 1.7439,                 2.5887,                 1.6641,                0.56796,                0.34509,                0.29275,                0.14184,                 1.6215,                 2.2246,                 1.6253,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.7175,                 2.3563,                 1.5716,                0.56353,                0.29886,                 0.2305,                0.09346,                 1.9215,                 2.4187,                 1.8226,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.7156,                 2.1787,                 1.6042,                0.58897,                0.33779,                0.29154,                0.15427,                 1.5889,                 1.8643,                 1.5977,             0.00086312,             0.00086312,             0.00086312
                      7,                   1.71,                 2.0689,                 1.5492,                0.57823,                0.39092,                0.30274,                0.17383,                  1.474,                 1.8112,                 1.4935,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.6361,                 1.9456,                 1.5662,                0.59952,                0.37411,                0.29182,                0.15239,                 1.5662,                 1.7891,                 1.5735,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.6032,                 1.8658,                 1.5132,                0.57969,                0.29197,                0.29105,                0.15863,                 1.4936,                  1.657,                 1.5448,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.5973,                   1.79,                 1.5264,                0.62474,                0.38922,                0.29901,                0.17205,                 1.4217,                 1.6404,                 1.4782,             0.00029723,             0.00029723,             0.00029723
