                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9967,                 3.3548,                  1.785,                0.25672,                0.12231,                0.12161,                0.04754,                 2.1436,                 3.5021,                 2.0063,             0.00046953,             0.00046953,             0.00046953
                      2,                 1.7966,                 2.2161,                 1.6786,                0.48048,                0.11436,                0.09147,                0.02658,                 2.5503,                 3.8872,                 2.6607,             0.00092713,             0.00092713,             0.00092713
                      3,                 1.8657,                 2.1319,                 1.7292,                0.48079,                0.25953,                0.14691,                0.06951,                 1.9757,                 5.8973,                 2.1963,              0.0013659,              0.0013659,              0.0013659
                      4,                 1.9116,                 2.1061,                 1.7998,                0.01483,                0.18248,                0.01323,                0.00699,                 1.6493,                 14.828,                 1.7427,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.8537,                 1.9182,                 1.7912,                0.20652,                0.22101,                 0.1609,                0.06562,                 1.9813,                 3.1883,                 2.1724,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.9045,                 1.9452,                 1.7927,                 0.6231,                 0.2794,                0.23836,                0.13373,                 1.6418,                 2.2157,                 1.8172,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.8434,                 1.9146,                 1.7675,                0.56667,                 0.2867,                0.24583,                0.12311,                 1.7163,                 1.9628,                 1.7793,              0.0012875,              0.0012875,              0.0012875
                      8,                  1.806,                 1.8306,                 1.7241,                0.19764,                0.19846,                0.20183,                0.10923,                 1.6676,                 2.3058,                 1.8099,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.7669,                 1.7265,                 1.6985,                 0.2242,                0.36415,                0.27535,                0.14926,                 1.5555,                 1.7307,                 1.6776,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.7509,                 1.7228,                 1.6599,                0.23099,                0.23844,                 0.2535,                0.14027,                 1.6814,                 1.8022,                 1.7607,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.7455,                 1.6168,                 1.6589,                0.59587,                0.25061,                0.30568,                0.16797,                 1.5198,                 1.4881,                 1.6461,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.7007,                 1.7019,                  1.667,                0.25322,                0.48256,                 0.2836,                0.14367,                 1.5843,                 1.7368,                  1.761,              0.0011461,              0.0011461,              0.0011461
                     13,                  1.716,                 1.5641,                 1.6594,                0.58906,                0.28062,                 0.3021,                0.15459,                 1.5274,                 1.5493,                 1.6518,              0.0011178,              0.0011178,              0.0011178
