                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.894,                 2.6262,                 1.7793,                0.85164,                0.19312,                0.23083,                0.11105,                 1.8611,                 2.4934,                 1.8848,             0.00047384,             0.00047384,             0.00047384
                      2,                 1.9286,                  2.038,                 1.7629,                0.50665,                 0.2181,                0.15655,                0.07128,                 2.1587,                 2.4248,                 2.0057,             0.00091882,             0.00091882,             0.00091882
                      3,                 1.9113,                  1.992,                 1.7591,                0.54641,                 0.2059,                0.16452,                0.07271,                 2.1406,                 2.5623,                 1.9832,              0.0013324,              0.0013324,              0.0013324
                      4,                 1.9003,                 1.9059,                 1.7324,                0.56222,                 0.4177,                0.26219,                0.12254,                 1.9344,                 1.6636,                 1.8547,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.8216,                 1.7597,                 1.6975,                0.54925,                 0.3664,                0.24049,                0.11168,                 1.9502,                 1.8043,                  1.815,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.8203,                 1.7411,                 1.6688,                0.55116,                0.38083,                0.23479,                0.11507,                 1.8743,                 1.7953,                 1.8047,              0.0012404,              0.0012404,              0.0012404
                      7,                 1.8244,                 1.7027,                 1.7064,                0.59116,                0.41209,                0.29907,                0.14799,                 1.8038,                 1.5923,                 1.7569,              0.0011932,              0.0011932,              0.0011932
                      8,                  1.778,                 1.6608,                 1.6485,                0.56875,                0.45323,                0.29674,                0.15115,                 1.7678,                 1.4267,                 1.7155,              0.0011461,              0.0011461,              0.0011461
                      9,                 1.7334,                  1.596,                 1.6224,                0.58363,                0.45487,                 0.3246,                0.17058,                 1.7329,                 1.3781,                 1.6805,              0.0010989,              0.0010989,              0.0010989
                     10,                 1.7269,                  1.578,                 1.6011,                 0.5947,                0.43988,                0.31646,                0.16262,                  1.699,                 1.3777,                 1.6421,              0.0010517,              0.0010517,              0.0010517
                     11,                 1.6668,                 1.5163,                 1.5774,                0.61748,                0.42491,                0.32809,                0.16713,                 1.7019,                 1.3045,                 1.6839,              0.0010046,              0.0010046,              0.0010046
                     12,                  1.675,                 1.5151,                 1.5664,                0.62949,                0.40622,                0.30059,                0.15114,                 1.7736,                 1.3113,                  1.739,             0.00095743,             0.00095743,             0.00095743
                     13,                 1.6561,                 1.4967,                 1.5645,                0.60181,                0.41368,                0.31985,                0.16973,                 1.6755,                 1.3018,                 1.6123,             0.00091027,             0.00091027,             0.00091027
                     14,                 1.6123,                 1.4002,                 1.5421,                0.59626,                0.44672,                0.36091,                0.18869,                 1.6954,                 1.2285,                 1.6603,             0.00086312,             0.00086312,             0.00086312
                     15,                 1.6323,                 1.4096,                 1.5473,                0.63299,                0.42343,                0.32405,                0.17337,                 1.6635,                 1.3134,                 1.6418,             0.00081596,             0.00081596,             0.00081596
                     16,                 1.5802,                 1.3668,                 1.5263,                0.59378,                0.48718,                0.33646,                 0.1835,                  1.613,                 1.2373,                 1.5888,              0.0007688,              0.0007688,              0.0007688
                     17,                 1.5906,                 1.3547,                 1.5038,                0.64559,                0.43866,                0.31679,                0.16411,                 1.6604,                 1.2015,                 1.6236,             0.00072164,             0.00072164,             0.00072164
                     18,                 1.5444,                 1.3138,                 1.4824,                0.62106,                0.45339,                0.34911,                0.18579,                  1.643,                 1.1746,                 1.5874,             0.00067449,             0.00067449,             0.00067449
                     19,                 1.5432,                 1.2978,                 1.4941,                0.61616,                0.48355,                0.35061,                0.18953,                 1.6075,                 1.1678,                 1.6085,             0.00062733,             0.00062733,             0.00062733
                     20,                 1.5136,                 1.2782,                 1.4921,                0.63766,                0.50216,                0.35629,                0.18813,                 1.5942,                 1.1555,                 1.5961,             0.00058017,             0.00058017,             0.00058017
                     21,                 1.5082,                  1.224,                 1.5155,                0.65389,                0.43824,                0.37159,                0.19799,                 1.5746,                 1.1535,                 1.5466,             0.00053302,             0.00053302,             0.00053302
                     22,                 1.4998,                 1.1871,                 1.4948,                 0.6329,                0.43958,                0.36843,                0.19549,                 1.5801,                 1.1552,                 1.5565,             0.00048586,             0.00048586,             0.00048586
                     23,                 1.4737,                  1.158,                   1.49,                0.63675,                0.47318,                0.36925,                0.20543,                  1.534,                 1.0979,                 1.5288,              0.0004387,              0.0004387,              0.0004387
                     24,                 1.4639,                 1.1498,                 1.5004,                0.67638,                0.42339,                0.36864,                0.20173,                 1.5737,                 1.0935,                 1.5734,             0.00039155,             0.00039155,             0.00039155
                     25,                 1.4296,                 1.1135,                 1.4533,                0.65737,                0.46203,                0.39225,                0.20936,                 1.5757,                 1.0814,                  1.568,             0.00034439,             0.00034439,             0.00034439
                     26,                 1.4212,                 1.1089,                 1.4584,                0.69544,                0.44233,                0.39494,                0.21272,                 1.5577,                 1.0893,                 1.5536,             0.00029723,             0.00029723,             0.00029723
                     27,                 1.3927,                 1.0719,                 1.4421,                0.67216,                 0.4687,                0.38773,                0.21165,                 1.5625,                  1.075,                 1.5616,             0.00025007,             0.00025007,             0.00025007
                     28,                 1.3817,                 1.0558,                 1.4342,                0.67296,                0.46794,                0.39694,                0.21729,                 1.5614,                 1.0544,                 1.5656,             0.00020292,             0.00020292,             0.00020292
                     29,                  1.346,                 1.0204,                 1.4064,                0.69896,                0.44022,                0.39614,                0.22186,                 1.5182,                 1.0434,                 1.5232,             0.00015576,             0.00015576,             0.00015576
                     30,                 1.3337,                 1.0141,                  1.397,                0.70068,                0.45574,                0.41114,                0.22697,                 1.5282,                 1.0427,                  1.544,              0.0001086,              0.0001086,              0.0001086
