                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.894,                 2.6262,                 1.7793,                0.85164,                0.19312,                0.23083,                0.11105,                 1.8611,                 2.4934,                 1.8848,             0.00047384,             0.00047384,             0.00047384
                      2,                 1.9286,                 2.0478,                 1.7569,                0.55518,                0.31792,                0.23381,                 0.1099,                 1.9357,                 2.0153,                 1.8725,             0.00093136,             0.00093136,             0.00093136
                      3,                 1.9355,                 2.0086,                  1.787,                0.57063,                  0.316,                0.25603,                0.11929,                 1.9024,                 1.8518,                 1.8344,                0.00137,                0.00137,                0.00137
                      4,                 1.9098,                 1.9008,                 1.7363,                0.52581,                0.39622,                0.27927,                0.13405,                 1.8154,                 1.6583,                 1.7609,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.8356,                 1.8089,                 1.7006,                0.57036,                0.35044,                 0.2737,                0.13584,                 1.8688,                 1.6128,                 1.7781,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.8406,                 1.7551,                 1.6829,                0.55895,                0.35451,                0.26243,                0.11415,                 1.8649,                 1.7288,                  1.822,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.7945,                 1.6759,                 1.6807,                0.59469,                0.35863,                0.29913,                0.15071,                 1.7616,                 1.4864,                 1.7432,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.7612,                 1.6268,                 1.6635,                0.56505,                0.44655,                0.29651,                0.15611,                 1.7218,                  1.377,                 1.6739,              0.0012592,              0.0012592,              0.0012592
                      9,                  1.727,                 1.5948,                 1.6169,                0.58598,                0.44377,                0.29333,                0.14692,                 1.7295,                 1.4902,                 1.7173,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.754,                 1.6221,                 1.6303,                0.60573,                0.43998,                0.29349,                0.14863,                 1.7545,                 1.4672,                 1.7003,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.7119,                  1.567,                 1.6064,                0.57983,                0.40664,                 0.2988,                0.15106,                  1.724,                 1.4688,                 1.7064,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.6875,                  1.527,                 1.5862,                0.61839,                  0.452,                0.31364,                0.17196,                 1.6756,                 1.2957,                 1.6385,              0.0011461,              0.0011461,              0.0011461
                     13,                  1.676,                 1.5152,                 1.6001,                0.58943,                0.44609,                0.31627,                0.16022,                 1.6839,                 1.3066,                 1.6357,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.6251,                 1.4438,                 1.5688,                0.60961,                0.43411,                0.32671,                0.16959,                 1.7618,                 1.3197,                 1.7257,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.6652,                 1.4393,                 1.5632,                0.62246,                0.47299,                0.31799,                 0.1698,                 1.6272,                  1.287,                 1.5874,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.6158,                 1.3977,                  1.542,                0.59868,                0.45094,                0.31578,                0.17202,                 1.6058,                  1.328,                 1.5879,              0.0010329,              0.0010329,              0.0010329
                     17,                   1.63,                 1.3996,                 1.5428,                0.63305,                0.41276,                0.32258,                0.16779,                 1.6467,                  1.274,                 1.6297,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.5869,                 1.3798,                 1.5251,                0.61109,                0.49157,                0.34674,                0.18542,                 1.6318,                 1.1965,                 1.5851,             0.00097629,             0.00097629,             0.00097629
